id;parameter_type_definition_id;left;right
e6813ccc-475d-4e4a-9156-44c22317497a;e6813ccc-475d-4e4a-9156-44c22317497e;14520;30091
e6813ccc-475d-4e4a-9156-44c22317497b;e6813ccc-475d-4e4a-9156-44c22317497e;24964;26977
e6813ccc-475d-4e4a-9156-44c22317497c;e6813ccc-475d-4e4a-9156-44c22317497e;4174;18805
e6813ccc-475d-4e4a-9156-44c22317497d;e6813ccc-475d-4e4a-9156-44c22317497e;15764;2844
e6813ccc-475d-4e4a-9156-44c22317497f;e6813ccc-475d-4e4a-9156-44c22317497e;6572;21515
e6813ccc-475d-4e4a-9156-44c22317497g;85f20edc-e809-43f9-9ca3-103e022b82cf;11869;24989
e6813ccc-475d-4e4a-9156-44c22317497h;85f20edc-e809-43f9-9ca3-103e022b82cf;31237;7783
e6813ccc-475d-4e4a-9156-44c22317497j;85f20edc-e809-43f9-9ca3-103e022b82cf;32601;23107
e6813ccc-475d-4e4a-9156-44c22317497i;85f20edc-e809-43f9-9ca3-103e022b82cf;29655;27861
e6813ccc-475d-4e4a-9156-44c22317497k;85f20edc-e809-43f9-9ca3-103e022b82cf;8746;11997
