id;model_type_id;ml_task_id;name;display_name;structure_id;description;advantages;disadvantages;enabled;ensemble_type_id;family_type_id;decision_tree
c97a9adc-aabb-4099-b8cc-bacb1a2096b8;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;bandwidth Japan male;midst Coupe Borders;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;male mobile Modern;generate productivity;Dubnium;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
b45a083c-7ff0-487e-b4f4-68d3350262da;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;Thorium boatload Cyclocross;Nickel;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;Director Incredible;repurpose;lime SUV;false;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
37b814fb-9eda-436e-aa26-55b43a27f3ac;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;Bedfordshire Soft back;coulomb Bohrium Pop;geez wireless;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;Awesome Reggae;City;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;false
176d3d89-c943-405a-9693-745b28ad2067;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;Metal Kids;Berkshire katal regarding;Mendelevium;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;violet;challenge Tesla Director;false;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
d96b7c42-49b2-46d1-a41f-b8a4f9b1f66b;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;second person generating;Synchronised tugboat;Niobium Chicken;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;orange Bicycle;hack;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
f23332d2-cf9e-47d8-9079-2e705775afac;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;West grouchy;Generic;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;Electric Hatchback;aha who Bedfordshire;East Intelligent against;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
79826a88-212c-403e-867a-33b61e716e88;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;valiantly;navigating;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;mole;metrics;nonconforming consectetur Future;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;false
d6f7787e-a192-4611-82af-1f7a8f526aa3;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;Praseodymium Buckinghamshire East;Research input;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;hacking bolívar Shoes;which;aboard abhor;false;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;true
13e4b176-b910-4c67-843e-2df8cfc2aab9;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;lux;irritating;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;Steel that phew;North Erbium;Sleek bypass;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;false
cbad87bc-5206-471f-af0a-c942bb7cbc6d;755b332f-f54e-4b9d-9590-41bf851ebce1;055ce1ec-44da-43dd-8d9f-ede4d26c20d0;Oklahoma Alaska indexing;once Table;99570ebf-4d67-4b78-ae4e-9d0c55951dfe;at;henry mobile Northwest;Keyboard catch brief;true;633e48b1-6889-4b23-bef4-7529047bcb0b;7a107d2a-1441-40dc-95f2-35e706f156d4;false
