id;model_id;name;label;description;enabled;fixed_value;ordering
420f102c-cf93-4bf5-9247-b4c03661b9ab;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;Southeast merry;orchid or payment;Technician;false;true;8749
b9041767-5742-4792-ad61-9225b91903fe;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;auxiliary;Berkshire Director;orchid South male;true;false;25694
d839bb5b-5ba4-498c-9e56-524758c95053;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;Associate;West;Frozen;false;true;14715
c0a64bee-ca27-491d-bd4d-31f140202225;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;candela Krypton;Cotton Hybrid;Grocery Hafnium bluetooth;true;false;14050
28247c7c-628b-4702-9cba-9fe5c3cd685a;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;who;anenst infrastructures bandwidth;Livermorium dimly;true;false;16376
4b9bc83e-7ea9-46f5-becc-2b5be0df5b8c;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;payment sprout Manager;Jocelyn Bicycle;Bedfordshire pixel paradigm;true;false;26514
31a777e6-a8ee-44ba-8254-f9a82085e777;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;Strategist F2M;up Operative;sans metrics;true;false;1553
a91cac86-093b-4cba-a577-efa780d1716c;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;Northeast saepe joule;initiatives Southeast Gadolinium;Towels Checking;true;true;23004
3718d5ba-47b6-4d54-8740-0da65b1fe4e7;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;Planner withdrawal Martin;weber;firewall Chair Bicycle;true;true;11554
a3135d33-48d1-41d8-a3e9-c54047f9394f;c97a9adc-aabb-4099-b8cc-bacb1a2096b8;ivory;Factors Corporate;Health;false;false;12283
