2024-05-02 12:16:52 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
2024-05-02 12:16:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-02 12:16:53 [main] INFO  i.DependencyGroupTypeBuildQueryTest - Starting DependencyGroupTypeBuildQueryTest using Java 17.0.10 with PID 34898 (started by jose in /home/jose/Development/Projects/Turintech/evoml/model-catalog/model-catalog-migration-file-creator)
2024-05-02 12:16:53 [main] INFO  i.DependencyGroupTypeBuildQueryTest - No active profile set, falling back to 1 default profile: "default"
2024-05-02 12:16:53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 223 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:54 [main] INFO  o.t.d.DockerClientProviderStrategy - Loaded org.testcontainers.dockerclient.UnixSocketClientProviderStrategy from ~/.testcontainers.properties, will try it first
2024-05-02 12:16:54 [main] INFO  o.t.d.DockerClientProviderStrategy - Found Docker environment with local Unix socket (unix:///var/run/docker.sock)
2024-05-02 12:16:54 [main] INFO  o.testcontainers.DockerClientFactory - Docker host IP address is localhost
2024-05-02 12:16:54 [main] INFO  o.testcontainers.DockerClientFactory - Connected to docker: 
  Server Version: 26.1.1
  API Version: 1.45
  Operating System: Ubuntu 22.04.4 LTS
  Total Memory: 15664 MB
2024-05-02 12:16:54 [main] INFO  o.t.utility.ImageNameSubstitutor - Image name substitution will be performed by: DefaultImageNameSubstitutor (composite of 'ConfigurationFileImageNameSubstitutor' and 'PrefixingImageNameSubstitutor')
2024-05-02 12:16:55 [main] INFO  o.testcontainers.DockerClientFactory - Ryuk started - will monitor and terminate Testcontainers containers on JVM exit
2024-05-02 12:16:55 [main] INFO  o.testcontainers.DockerClientFactory - Checking the system...
2024-05-02 12:16:55 [main] INFO  o.testcontainers.DockerClientFactory - ✔︎ Docker server version should be at least 1.6.0
2024-05-02 12:16:55 [main] INFO  o.testcontainers.DockerClientFactory - ✔︎ Docker environment should have more than 2GB free disk space
2024-05-02 12:16:55 [main] INFO  🐳 [postgres:16.1] - Creating container for image: postgres:16.1
2024-05-02 12:16:55 [main] INFO  🐳 [postgres:16.1] - Starting container with ID: fcdc92022e8058af8e47a5b0776dd51da6c6ac5ede95231de7c528e9c7f38374
2024-05-02 12:16:55 [main] INFO  🐳 [postgres:16.1] - Container postgres:16.1 is starting: fcdc92022e8058af8e47a5b0776dd51da6c6ac5ede95231de7c528e9c7f38374
2024-05-02 12:16:56 [main] INFO  🐳 [postgres:16.1] - Container postgres:16.1 started in PT1.168079887S
2024-05-02 12:16:56 [main] INFO  org.testcontainers.ext.ScriptUtils - Executing database script from sql/create_and_insert.sql
2024-05-02 12:16:56 [main] INFO  org.testcontainers.ext.ScriptUtils - Executed database script from sql/create_and_insert.sql in 285 ms.
2024-05-02 12:16:56 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:56 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-05-02 12:16:56 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:57 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
